Phòng ăn,Pháp lý,addressLocality,Số phòng ngủ,price_text,Chính chủ,addressRegion,Đường trước nhà,description,Chiều dài,streetAddress,Sân thượng,Thuộc dự án,Hướng,title,Loại BDS,Nhà bếp,Chiều ngang,price_value,area,Loại tin,Mã tin,Chổ để xe hơi,Số lầu,address_old
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,40 triệu / m²,,Hồ Chí Minh,12m,"Bán đất mặt tiền biển Cần Giờ, mặt tiền đường Phan Đức, Long Hòa, Cần Giờ .
✅ Vị trí đẹp
Lô đất nằm ngay mặt tiền biển xã Long Hòa, mặt tiền đường Phan Đức, Cần Giờ – Gần đường Thạnh Thới, đoạn 30/4.
Đối diện dự án khu đô thị lấn biển 2.870ha , tiềm năng tăng giá mạnh.
Khu vực phong cảnh đẹp, khí hậu trong lành, thích hợp nghỉ dưỡng, kinh doanh hoặc đầu tư lâu dài.

✅ Diện tích rộng – thổ cư lớn
Tổng diện tích: 1.504,4m²

Thổ cư: 925m²

Kích thước: Ngang 35m × Dài 40,2m
Đất vuông vức – cao ráo – xây dựng ngay, không cần san lấp.

✅ Pháp lý chuẩn – sang tên ngay
Sổ hồng riêng, chính chủ.
Hỗ trợ pháp lý, quy hoạch rõ ràng – công chứng trong ngày.

💰 Giá bán: 40 triệu/m² –cho khách thiện chí.
📍 Làm việc trực tiếp chính chủ – Có hợp tác với anh/chị em môi giới.","40,2m",Đường Phan Đức,,,,"Bán đất mặt tiền biển Cần Giờ, mặt tiền Phan Đức, 925m2 đất ở, tổng DT 1504.4m2, 40tr/m2","Đất thổ cư, đất ở",,35m,60160000000,1.504,Cần bán,17094918,,,"Đường Phan Đức, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Bình Khánh,,2 triệu / m²,,Hồ Chí Minh,2m,"Bán đất đường Trần Quang Quờn, xã Bình Khánh, Cần Giờ.

✅ Vị trí tiềm năng
Lô đất lô nhì đường Trần Quang Quờn. Gần khu dân cư Ấp Bình Thạnh, đường Hà Quang Vóc.

✅ Diện tích rộng – quy hoạch đất ở
Diện tích: 2.392 m²

Kích thước: Ngang 38,1m × Dài 61,5m

Quy hoạch đất ở.

✅ Pháp lý rõ ràng – sang tên ngay
Sổ hồng riêng, chính chủ.

Công chứng sang tên trong ngày.

💰 Giá bán: 2 triệu/m²
🔢 Tổng giá: ~4,78 tỷ (còn thương lượng cho khách thiện chí)","61,5m",Đường Trần Quang Quờn,,,,"Bán đất đường Trần Quang Quờn, xã Bình Khánh, quy hoạch đất ở, DT 2392 m2, giá 2 tr/m2","Đất thổ cư, đất ở",,"38,1m",4784000000,2.392,Cần bán,17098825,,,"Đường Trần Quang Quờn, Xã Bình Khánh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,45 triệu / m²,,Hồ Chí Minh,20m,"Bán đất mặt tiền đường Lương Văn Nho xã Cần Giờ.

✅ Vị trí đắc địa – trung tâm Cần Giờ
Lô đất nằm ngay mặt tiền đường Lương Văn Nho, đối diện khu biệt thự dự án Phước Lộc, gần đường Thạnh Thới, khu dân cư Hòa Hiệp.
Chỉ 1km đến cổng chính Vinhomes Green Paradise – khu vực tiềm năng phát triển mạnh.

✅ Diện tích lớn – có thổ cư
Tổng diện tích: 1.500 m²

Kích thước: Ngang 30m × Dài 50m

Có 1.096 m² thổ cư – thuận tiện xây dựng ngay hoặc phát triển dự án.

✅ Pháp lý minh bạch – sang tên trong ngày
Sổ hồng riêng, chính chủ

Công chứng nhanh chóng, hỗ trợ pháp lý rõ ràng

💰 Giá bán: 45 triệu/m²
🔢 Tổng giá: ~67,5 tỷ  cho khách thiện chí mua nhanh
📍 Làm việc trực tiếp chính chủ – Hợp tác với anh chị em môi giới",50m,Đường Lương Văn Nho,,,,"Bán đất MT Lương Văn Nho, đối diện dự án Phước Lộc, DT 1500m2, 1096m2 thổ cư, 45tr/m2","Đất thổ cư, đất ở",,30m,67500000000,1.500,Cần bán,17152665,,,"Đường Lương Văn Nho, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,3,"7,2 tỷ",,Hồ Chí Minh,16m,"Bán nhà 3 tầng mặt tiền dự án Phước lộc, xã Cần Giờ .

✅ Vị trí đắc địa – trung tâm Cần Giờ
Dự án Phước Lộc nằm ngay mặt tiền đường Lương Văn Nho.

Gần đường Thạnh Thới, khu dân cư Hòa Hiệp, trung tâm xã Cần Giờ.

Chỉ 1km đến cổng chính Vinhomes Green Paradise – khu vực phát triển tiềm năng.

✅ Diện tích & công năng
Diện tích: 110m² (ngang 5m × dài 22m) – full thổ cư.

Nhà xây 3 tầng kiên cố, mới đẹp, để lại nội thất cơ bản, vào ở ngay.

✅ Pháp lý minh bạch – sang tên nhanh chóng
Sổ hồng riêng, chính chủ.

Công chứng ngay trong ngày.

💰 Giá bán: 7,2 tỷ (còn thương lượng cho khách thiện chí).",22m,Đường Lương Văn Nho,,Khu nghỉ dưỡng La Maison De Cần Giờ(xem chi tiết dự án),,"Bán nhà 3 tầng mặt tiền dự án Phước lộc Cần Giờ, diện tích 110 m2, giá 7,2 tỷ","Biệt thự, nhà liền kề",,5m,7200000000,110,Cần bán,17167789,,2,"Đường Lương Văn Nho, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Giấy tờ hợp lệ,Xã Cần Giờ,,36 triệu / m²,,Hồ Chí Minh,16m,"🌿 Biệt thự dự án Phước Lộc – Dãy A, mặt sông, view rừng – 600 m²

✅ Vị trí đắc địa – đẹp nhất dự án
Lô đất nằm tại dãy A – mặt sông, view rừng, vị trí đẹp và được nhiều nhà đầu tư quan tâm nhất tại dự án Phước Lộc Cần Giờ.

Dự án Phước Lộc nằm tại mặt tiền đường Lương Văn Nho, gần đường Thạnh Thới, khu dân cư Hòa Hiệp.

Trung tâm xã Cần Giờ, chỉ 2km đến cổng chính Vinhomes Green Paradise.

Dãy A nằm gần sông Hà Thanh, đối diện rừng, mang đến không gian sinh thái đẳng cấp.

✅ Diện tích lý tưởng – tiềm năng phát triển
Tổng diện tích: 600 m²

Kích thước: Ngang 20m × Dài 30m

🔢 Giá 36tr/m2, Tổng giá: ~21,6 tỷ (còn thương lượng cho khách thiện chí)

📍 Lô này xin phép không hợp tác với anh chị em môi giới",30m,Đường Lương Văn Nho,,Khu nghỉ dưỡng La Maison De Cần Giờ(xem chi tiết dự án),,"Biệt thự dự án Phước lộc xã Cần Giờ, Dãy A, Mặt sông, View rừng DT 600 m2, giá 36tr/m2","Đất thổ cư, đất ở",,20m,21600000000,600,Cần bán,17389910,,,"Đường Lương Văn Nho, Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,3,"9,9 tỷ",,Hồ Chí Minh,8m,"Bán nhà 2 tầng mặt tiền đường Nguyễn Phan Vinh, thị trấn Cần Thạnh, huyện Cần Giờ .
✅ Vị trí cực đẹp: Mặt tiền đường Nguyễn Phan Vinh, trung tâm thị trấn Cần Thạnh – Chỉ cách biển Cần Giờ vài bước chân, gần công viên biển, tuyến đường du lịch sầm uất, tiềm năng tăng giá cao.

✅ Diện tích lý tưởng:

Diện tích đất: 175m² (ngang 12.1m x dài 19.4m)

100% đất thổ cư

Diện tích xây dựng: 360m² sàn, nhà 3 tầng kiên cố, thiết kế hiện đại, vào ở ngay không cần sửa chữa.

✅ Pháp lý rõ ràng: Sổ hồng riêng, chính chủ, công chứng nhanh trong ngày.

💰 Giá bán: 9.9 tỷ, còn thương lượng cho khách thiện chí mua nhanh trong tháng.","19,4m",Đường Nguyễn Phan Vinh,,,,"Bán nhà 3 tầng mặt tiền đường Nguyễn Phan Vinh, thị trấn Cần Thạnh, DT 175m2, GIÁ 9.9 TỶ",Nhà mặt tiền,,"12,1m",9900000000,175,Cần bán,16487492,,2,"Đường Nguyễn Phan Vinh, Thị trấn Cần Thạnh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,2,5 tỷ,,Hồ Chí Minh,8m,"Bán nhà 2 mặt tiền khu 50 căn đường Đào Cử, thị trấn Cần Thạnh, huyện Cần Giờ .

✅ Vị trí đắc địa: 2 Mặt tiền trước sau đường khu 50 căn, ngay trung tâm thị trấn Cần Thạnh, huyện Cần Giờ  – gần khu dân cư, tiện ích đầy đủ, cách biển và dự án lấn biển Vinhomes Green Paradise của Vingroup chỉ 500m.

✅ Diện tích : 84m² (ngang 7m x dài 12m), full thổ cư – thích hợp nghỉ dưỡng, đầu tư, cho thuê.

✅ Nhà mới đẹp vào ở ngay.

✅ Pháp lý minh bạch: Sổ hồng riêng, chính chủ, công chứng trong ngày.

💰 Giá bán: 5 tỷ –  cho khách thiện chí.

🤝 Làm việc trực tiếp chính chủ – Có hợp tác với anh chị em môi giới!",12m,Đường Đào Cử,,,,"Bán nhà 2 mặt tiền khu 50 căn đường Đào Cử, Cần Thạnh, DT 84m2, full thổ cư, giá 5 tỷ",Nhà mặt tiền,,7m,5000000000,84,Cần bán,16532871,,,"Đường Đào Cử, Thị trấn Cần Thạnh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,25 triệu / m²,,Hồ Chí Minh,10m,"Bán đất góc 2 mặt tiền đường Bùi Lâm, mặt biển Cần Giờ, thị trấn Cần Thạnh , huyện Cần Giờ .

✅ Vị trí siêu đẹp: Lô góc 2 mặt tiền, mặt biển Cần Giờ, đối diện dự án khu đô thị lấn biển 2870 ha, ngay trung tâm thị trấn Cần Thạnh.
✅ Diện tích lớn: 4063m², trong đó 400m² đất thổ cư, ngang 53.9m, dài 39.5m, phù hợp xây khách sạn, resort, biệt thự nghỉ dưỡng.
✅ Pháp lý chuẩn: Sổ hồng riêng, công chứng sang tên ngay trong ngày.
✅ Giá bán gấp: 25 triệu/m² (~101.6 tỷ), còn thương lượng cho khách thiện chí.","39,5m",Đường Bùi Lâm,,,,"Bán đất góc 2 mặt tiền đường Bùi Lâm, mặt biển Cần Giờ, Cần Thạnh, DT 4063 m2 ,giá 25tr/m2","Đất thổ cư, đất ở",,"53,9m",101575000000,4.063,Cần bán,16093362,,,"Đường Bùi Lâm, Thị trấn Cần Thạnh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,51 triệu / m²,,Hồ Chí Minh,16m,"Bán đất 2 mặt tiền đường Duyên Hải, mặt biển, thị trấn Cần Thạnh, huyện Cần Giờ

✅ Vị trí độc tôn: 2 mặt tiền trước sau, trước là mặt tiền đường Duyên Hải, sau hướng thẳng biển, đối diện dự án lấn biển, ngay trung tâm thị trấn Cần Thạnh, gần công viên Cần Giờ.
✅ Diện tích lớn: 1140m² (Ngang 16m, dài 71m), đã có 600m² đất thổ cư, thích hợp xây khách sạn, nhà hàng, villa nghỉ dưỡng.
✅ Đã xây dựng: Hàng rào kiên cố, sẵn sàng sử dụng.
✅ Pháp lý an toàn: Sổ hồng riêng, công chứng sang tên ngay trong ngày.
✅ Giá bán gấp: 51 triệu/m² (~58.1 tỷ), còn thương lượng cho khách thiện chí.",71m,Đường Duyên Hải,,,,"Bán đất 2 mặt tiền đường Duyên Hải, mặt biển, Cần Thạnh, DT 1140 m2, giá 51 triệu/m2","Đất thổ cư, đất ở",,16m,58140000000,1.140,Cần bán,16093367,,,"Đường Duyên Hải, Thị trấn Cần Thạnh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,15 tỷ,,Hồ Chí Minh,16m,"Bán đất mặt tiền đường Tắc Xuất, thị trấn Cần Thạnh, huyện Cần Giờ .

✅ Vị trí đắc địa: Mặt tiền đường Tắc Xuất, ngay trung tâm thị trấn Cần Thạnh, gần bến phà Cần Giờ – Vũng Tàu, sát biển Cần Giờ và kế cận dự án lấn biển Vingroup – tiềm năng đầu tư và khai thác cực lớn!
✅ Diện tích sử dụng rộng: Tổng 500m² (ngang 10m x dài 50m), gồm 200m² công nhận trên sổ (10x20m) và 300m² đất dư phía sau. Đã có 200m² đất ở – thích hợp xây nhà hàng, biệt thự, nhà vườn, kinh doanh.
✅ Hiện trạng: Đất đã san lấp bằng phẳng, ranh giới rõ ràng, có hàng rào kiên cố sẵn sàng xây dựng.
✅ Pháp lý an toàn: Sổ hồng riêng, chính chủ, công chứng sang tên ngay trong ngày.
✅ Giá bán nhanh: 15 tỷ cho khách thiện chí mua nhanh trong tháng.",50m,Đường Tắc Xuất,,,,"Bán đất mặt tiền đường Tắc Xuất, thị trấn Cần Thạnh, diện tích 500m2 (10x50m), giá 15 tỷ","Đất thổ cư, đất ở",,10m,15000000000,500,Cần bán,16278679,,,"Đường Tắc Xuất, Thị trấn Cần Thạnh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,60 triệu / m²,,Hồ Chí Minh,16m,"Bán đất mặt tiền đường Duyên Hải, thị trấn Cần Thạnh, huyện Cần Giờ

✅ Vị trí đẹp: Mặt tiền đường Duyên Hải, trung tâm thị trấn Cần Thạnh, cách biển chỉ 200m, gần công viên Cần Giờ – đối diện dự án Vinhome Green Paradise 2870ha siêu tiềm năng.

✅ Diện tích chuẩn đẹp: 385m² (ngang 10m, dài 39m), 300m² đất thổ cư – thích hợp xây khách sạn, nhà hàng hoặc đầu tư lâu dài.

✅ Tiềm năng phát triển mạnh: Nằm ngay khu trung tâm, hạ tầng hoàn chỉnh, khu vực đang phát triển nhanh nhờ các dự án lớn quy hoạch ven biển.

✅ Pháp lý rõ ràng: Sổ hồng riêng, chính chủ, công chứng sang tên trong ngày.

✅ Giá cần bán gấp: 23.1 tỷ (60 triệu/m²), còn thương lượng cho khách thiện chí mua nhanh trong tháng.",39m,Đường Duyên Hải,,,,"Bán đất mặt tiền đường Duyên Hải, thị trấn Cần Thạnh, diện tích 385m2, giá 60 triệu/m2","Đất thổ cư, đất ở",,10m,23100000000,385,Cần bán,16357283,,,"Đường Duyên Hải, Thị trấn Cần Thạnh, Huyện Cần Giờ, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Xã Cần Giờ,,60 triệu / m²,,Hồ Chí Minh,12m,"✅ Vị trí đắc địa: Nằm ngay mặt tiền đường Giồng Ao, trung tâm thị trấn Cần Thạnh, gần biển Cần Giờ – đối diện khu đô thị lấn biển Vinhome Green Paradise 2870ha, khu dân cư đông đúc, hạ tầng hoàn thiện.

✅ Diện tích chuẩn đẹp: 96m² (ngang 5m, dài 19.2m), 100% đất thổ cư, phù hợp xây ở, nghỉ dưỡng, đầu tư, kinh doanh hoặc cho thuê.

✅ Tiềm năng tăng giá cao: Giáp các dự án quy hoạch trọng điểm tại Cần Giờ, vị trí mặt tiền giá trị hiếm – cơ hội đầu tư sinh lời tốt.

✅ Pháp lý minh bạch: Sổ hồng riêng, chính chủ, sang tên công chứng nhanh gọn trong ngày.

✅ Giá cần bán gấp: 5.76 tỷ (60 triệu/m²), còn thương lượng cho khách thiện chí mua nhanh.","19,2m",Đường Giống Ao,,,,"Bán đất mặt tiền đường Giồng Ao, Cần Thạnh, diện tích 96m2, giá 60 triệu/m2","Đất thổ cư, đất ở",,5m,5760000000,96,Cần bán,16363403,,,"Đường Giống Ao, Thị trấn Cần Thạnh, Huyện Cần Giờ, Hồ Chí Minh"
